split,image_path,gt_path,crack_ratio,label
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00001.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00001.png,0.1231536865234375,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00003.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00003.png,0.007965087890625,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00004.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00004.png,0.0643157958984375,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00005.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00005.png,0.176666259765625,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00008.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00008.png,0.057830810546875,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00014.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00014.png,0.131439208984375,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00016.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00016.png,0.0476226806640625,Medium
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00017.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00017.png,0.0,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00018.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00018.png,0.0253143310546875,Medium
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00020.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00020.png,0.0450439453125,Medium
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00024.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00024.png,0.0312347412109375,Medium
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00026.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00026.png,0.060211181640625,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00027.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00027.png,0.0,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00030.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00030.png,0.08160400390625,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00031.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00031.png,0.0,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00033.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00033.png,0.1072235107421875,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00035.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00035.png,0.191314697265625,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00038.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00038.png,0.1591033935546875,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00040.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00040.png,0.0,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00041.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00041.png,0.245208740234375,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00042.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00042.png,0.1419219970703125,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00045.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00045.png,0.0,Low
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00046.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00046.png,0.166656494140625,High
train,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\IMG\00048.png,C:\Users\MH784SK\OneDrive - EY\Desktop\CV\reduced_dataset\train\GT\00048.png,0.1692962646484375,High
